Sr.No.,Name,Type,WaterRequirements,MinTemp,MaxTemp,CommonPlantDiseases,SoilType,Fertilisers,AreaRequired,Info,Images,Icons
100,Chrysanthemum,Flower,2.36 per week,15,28,Bacterial Blight,Loamy soil,Compost,14 sq ft,"Chrysanthemum, (genus Chrysanthemum), genus of about 40 species of flowering plants in the aster family (Asteraceae), native primarily to subtropical and temperate areas of the Old World. Chrysanthemums are especially common in East Asia, where they are often depicted in art, and many are popular ornamentals",https://drive.google.com/file/d/1-i9AG5sWtS3ImRMubJckjGmZTsefHdzN/view?usp=sharing,https://drive.google.com/file/d/1r_xXvp4mFsyrc2mWx6Gx0RSGkkhbYb-6/view?usp=sharing
101,Cherry Blossom,Flower,4 to 5 per week,7,15,Black Knot,Clay soil,Low nitrogen fertilizers,5 sq ft,"A cherry blossom is a flower of many trees of genus Prunus or Prunus subg. Cerasus. They are also known as Japanese cherry and Sakura. They generally refer to ornamental cherry trees, not to be confused with cherry trees that produce fruit for eating. It is considered the national flower of Japan.",https://drive.google.com/file/d/1Z6hbOGkXTnuKVn_fPW0zJC78oM-dzL2F/view?usp=sharing,https://drive.google.com/file/d/16FHuOOiw4rAnSUD1RQzhzbNpuTo5AqjM/view?usp=sharing
102,Geranium,Flower,3 to 8 per week,6,24,Alternaria Leaf Spot,Loamy soil,20-20-20 fertilizers,1 sq ft,"The flowers have five petals and are coloured white, pink, purple or blue, often with distinctive veining. Geraniums will grow in any soil as long as it is not waterlogged. They are found throughout the temperate regions of the world and the mountains of the tropics, but mostly in the eastern part of the Mediterranean region.",https://drive.google.com/file/d/11844UkCqHdp7036SVunS2vVdirKi3hpb/view?usp=sharing,https://drive.google.com/file/d/180nSjTYAK51xMaSTCCqtKxCOZ7iJ7Rdu/view?usp=sharing
103,Gerbera,Flower,2 to 4 per week,14,27,Fusarium Stem Rot,Sandy soil,Magnesium,0.75 sq ft,"Gerbera L. is a genus of plants in the Asteraceae. It was named in honour of German botanist and medical doctor Traugott Gerber who travelled extensively in Russia and was a friend of Carl Linnaeus. Gerbera is native to tropical regions of South America, Africa and Asia",https://drive.google.com/file/d/1wPdN5rJ5WNE5IXD_hRmb6MC4TGSq_fbi/view?usp=sharing,https://drive.google.com/file/d/1HR62VIl4jzsSm7mdSVnaBtYdQ2gLlFFS/view?usp=sharing
104,Hibiscus,Flower,5 to 8 per week,16,32,Leaf Spots,"Sandy soil, Loamy soil",High potassium compost,0.5 sq ft,"Hibiscus is a genus of flowering plants in the mallow family, Malvaceae. The genus is quite large, comprising several hundred species that are native to warm temperate, subtropical and tropical regions throughout the world",https://drive.google.com/file/d/1SL6mzlj1uvQRYe_nRkyNzQQZtq3iL2UV/view?usp=sharing,https://drive.google.com/file/d/10ZWlrmuQEBnKH3p3hPl3F0fvqaYtkWyr/view?usp=sharing
105,Gladiolus,Flower,2.5 to 5 per week,10,25,Nematodes,Loamy soil,"120 kg N, 150 kg P2O5 and 150 kg K2O",16 sq ft,"Gladiolus is a genus of perennial cormous flowering plants in the iris family. It is sometimes called the 'sword lily', but is usually called by its generic name. The genus occurs in Asia, Mediterranean Europe, South Africa, and tropical Africa. The center of diversity is in the Cape Floristic Region",https://drive.google.com/file/d/11TJjkX6gq78nhewBlOcMDpWfdFr9xPHp/view?usp=sharing,https://drive.google.com/file/d/17-Mk1LSQlNKmlxliDx-ZlovgbnTCTqN3/view?usp=sharing
106,Hop,Flower,3.78 to 6.42 per week,4,20,Black Root Rot,Silty soil,Potassium nitrate,1 sq ft,"Hop, also called hop plant, either of two species of the genus Humulus, nonwoody annual or perennial vines in the hemp family (Cannabinaceae) native to temperate North America, Eurasia, and South America. The hops used in the brewing industry are the dried female flower clusters (cones) of the common hop",https://drive.google.com/file/d/1HsI9XF0LDBkWErMYXVnsVmGtVCrgw-ik/view?usp=sharing,https://drive.google.com/file/d/1FK88PHTaozohgC3GX7cRX7tCrK1ETYsS/view?usp=sharing
107,Jasmine,Flower,2.36 per week,15,23,Anthracnose,"Sandy soil, Loamy soil, Clay soil",Compost,2.5 sq ft,Jasmine is a genus of shrubs and vines in the olive family. It contains around 200 species native to tropical and warm temperate regions of Eurasia and Oceania. Jasmines are widely cultivated for the characteristic fragrance of their flowers.,https://drive.google.com/file/d/1Wwx6ubP_VMIm-aOfih2pxpjmRkH7MjWv/view?usp=sharing,https://drive.google.com/file/d/10laumVilXghEXvcTnucvHS2N2_o8ipJQ/view?usp=sharing
108,Lavender,Flower,4.72 per week,14,15,Black Root Rot,Sandy soil,Diluted liquid fertilizer,2.5 sq ft,"lavender, (genus Lavandula), genus of about 30 species of plants in the mint family (Lamiaceae), native to countries bordering the Mediterranean. Lavender species are common in herb gardens for their fragrant leaves and attractive flowers",https://drive.google.com/file/d/1oithDxQRnyS1OvmBwvHJP-FGuAPZWbXs/view?usp=sharing,https://drive.google.com/file/d/1jeT6rrSd-WGJJpD4G75IdaIq9LziuQAx/view?usp=sharing
109,Lilac,Flower,7 to 10 per week,10,16,Powdery Mildew,Clay soil,Magnesium,3 sq ft,"Lilac is a color that is a pale violet tone representing the average color of most lilac flowers. It can also be described as dark mauve or light blue. The colors of some lilac flowers may be equivalent to the colors shown below as pale lilac, rich lilac, or deep lilac.",https://drive.google.com/file/d/1oVy0VIIKQBC82lzp_6CdVGIVejtapQ5J/view?usp=sharing,https://drive.google.com/file/d/19GSMkpKhG6OY8Qd0Ieh364QGHt9AHR0j/view?usp=sharing
110,Lotus,Flower,8 to 10 per week,21,27,Powdery Mildew,Loamy soil,General fertilizers,5 sq ft,"Nelumbo nucifera, also known as Indian lotus, sacred lotus, or simply lotus, is one of two extant species of aquatic plant in the family Nelumbonaceae. It is sometimes colloquially called a water lily, though this more often refers to members of the family Nymphaeaceae",https://drive.google.com/file/d/1lBq54iWtntZ8-Qse7M8e6tIyIiaFO2nM/view?usp=sharing,https://drive.google.com/file/d/1A3y_H1zupN9Cpr9gFpcXzGpG2XjYiOzx/view?usp=sharing
111,Magnolia,Flower,3 to 8 per week,0,2,Algal Leaf Spot,Silty soil,Water-soluble fertilizer,1 sq ft,"Magnolias are spreading, evergreen or deciduous trees or shrubs, characterised by large fragrant flowers which may be bowl-shaped or star-shaped, in shades of white, pink, purple, green or yellow. In deciduous species the blooms often appear before the leaves, in Spring. Cone-like fruits are often produced in Autumn",https://drive.google.com/file/d/1fxnNiFtclBpJ9i3l9o4Jxsr-C8PUWQp9/view?usp=sharing,https://drive.google.com/file/d/13c1efbtxNKqLkXIALAfZlOq-WNC5s8D-/view?usp=sharing
112,Marigold,Flower,2 to 5 per week,4,12,Alternaria Leaf Spot,"Sandy soil, Loamy soil",Nitrogen,2.5 sq ft,"Marigolds are beautiful, strong smelling herbaceous flowers that are widely grown throughout the world. Mariegold is used for spiritual purpose in India and is widely used for making garlands and other functions. They are very easy to take care. Plants grow up to 3 feet high with large 3 inch puff ball blooms.",https://drive.google.com/file/d/1TkFBaAyXIfBs2FtYo7T7xCkaRwuFLMHJ/view?usp=sharing,https://drive.google.com/file/d/1LdllnXm8pVJAmoZpg9tLe4Z208sY7uuu/view?usp=sharing
113,Morning-Glory,Flower,5 to 7 per week,17,20,Canker,Clay soil,Diluted liquid fertilizer,2 sq ft,"Morning glory is the common name for over 1,000 species of flowering plants in the family Convolvulaceae, whose current taxonomy and systematics are in flux",https://drive.google.com/file/d/1KklP-UIQsNrPJ6AURdUPXFIHc7Mrj0be/view?usp=sharing,https://drive.google.com/file/d/1CQMiMz7P2yOT20kSFO9-xYb8j7wd25GD/view?usp=sharing
114,Orange Rose,Flower,2 to 5 per week,12,36,Rose Rust,Sandy soil,Potassium nitrate,1 sq ft,"Orange roses are believed to bring peace, health, and happiness from their vibrant and bubbling appearance. An orange rose meaning in a relationship signifies that one is ready to take their relationship to the next level",https://drive.google.com/file/d/1cKEl-BpfMDtGUVgcBf3slXzJRqBDk1wJ/view?usp=sharing,https://drive.google.com/file/d/1RifelfB9srWbnhjKbmxB4V2o6x7t-Nso/view?usp=sharing
115,Peony,Flower,2.36 to 3.78 per week,7,15,Crown Gall,"Sandy soil, Loamy soil, Clay soil","Phosphorus, Nitrogen",3.5 sq ft,"peony, (genus Paeonia), genus of about 30 species of flowering plants (family Paeoniaceae) known for their large showy blossoms. In late spring and early summer they produce large single and double flowers of white, pink, rose, and deep crimson colour. The fragrant Chinese peony",https://drive.google.com/file/d/1BYo7ZhXHnLUBGIpIKxCKng0XL4SDpgv8/view?usp=sharing,https://drive.google.com/file/d/1RYuHERIogx2z5RxG0gAZbCS81qmQZ-lq/view?usp=sharing
116,Primrose,Flower,2 to 6 per week,10,18,Green Peach Aphids,Silty soil,Potassium nitrate,2 sq ft,"Primula vulgaris, the common primrose, is a species of flowering plant in the family Primulaceae, native to western and southern Europe, northwest Africa, and parts of southwest Asia",https://drive.google.com/file/d/1L5dTtwEtwwEuVvUscD8hI-rcD-az3xCE/view?usp=sharing,https://drive.google.com/file/d/1c9KiC5f7hBRizJkc1TWck9tg8dwp7k9c/view?usp=sharing
117,Snapdragon,Flower,3 to 8 per week,15,23,Rust,Clay soil,Ammoniun nitrate,4 sq ft,"Antirrhinum is a genus of plants commonly known as dragon flowers or snapdragons because of the flowers' fancied resemblance to the face of a dragon that opens and closes its mouth when laterally squeezed. They are native to rocky areas of Europe, the United States, Canada, and North Africa.",https://drive.google.com/file/d/1METc-h_G5TRhEaKknkj2YgfGA8zMqkpw/view?usp=sharing,https://drive.google.com/file/d/1kG3XwNZ05GUKA85xz4fc45xAzZD7BQmO/view?usp=sharing
118,Snowdrop,Flower,1 to 2 per week,2,8,Grey Mould,Sandy soil,High quality organic fertilizer,10 sq ft,"Snowdrops are small perennial herbs with bulbs and basal linear leaves. ... The small flowers are composed of six white tepals (undifferentiated petals and sepals); the three outer tepals are long and curved, and the inner tepals are small and notched",https://drive.google.com/file/d/1tyRboA-a_08jgcwYYzN01E_eVn92zHdb/view?usp=sharing,https://drive.google.com/file/d/1ABgddcbXUlz0eQUcO4t4lf0HwMLynHxZ/view?usp=sharing
119,Tuberose,Flower,1.25 to 1.50 per week,18,29,"Stem Rot, Flower Bud Rot","Sandy soil, Loamy soil","100 kg N, 50 kg P2O5 and 70 kg K2O",5 sq ft,Tuberose (Polianthes tuberosa L.)is one of the most important tropical ornamental bulbous flowering plants cultivated for production of long lasting flower spikes. It is popularly known as Rajanigandha or Nishigandha. It has long been cherished for the aromatic oils extracted from its fragrant white flowers,https://drive.google.com/file/d/1WBqcSJ_t-JKT8E9gx8vnfoSq9jlTh8QJ/view?usp=sharing,https://drive.google.com/file/d/1wxZfQXkbDUPp4n0qrH18bPT7lIcF-Bqz/view?usp=sharing
120,Snake Plant,Exotic,2 to 5 per week,21,32,"Fungal Infections, Root Rot",Sandy soil,10:10:10 NPK fertilizer,2.5 sq ft,"Snake plant or mother-in-law’s tongue, is native to tropical western Africa. It is a stemless evergreen perennial that, with proper care, will last for many years. Erect, fleshy, sharply-pointed, sword-shaped leaves are deep green with light gray-green horizontal stripes. Small, fragrant, greenish-white flowers bloom on mature plants in spring, followed by orange berries. Flowers and fruit rarely appear on indoor plants.",https://drive.google.com/file/d/1tSVCjBce3e5ZdNQrdzURXlYZQBactRga/view?usp=sharing,https://drive.google.com/file/d/1wxZfQXkbDUPp4n0qrH18bPT7lIcF-Bqz/view?usp=sharing
121,Peace Lily,Exotic,5 to 7 per week,18,27,"Leaf Blight, Pythium Root Rot",Loamy soil,20:20:20 NPK fertilizer,2 sq ft,"Peace lilies are sturdy plants with glossy, dark green oval leaves that narrow to a point. The leaves rise directly from the soil. These plants also periodically produce lightly fragrant white flowers that resemble calla lilies. The long-lasting flowers start out pale green and slowly turn creamy white as they open.",https://drive.google.com/file/d/1501AAU2JX4hRB7YMqILdoegv85tAT1_m/view?usp=sharing,https://drive.google.com/file/d/1-DxNybkQoZPXyxQmR3s6oL8zMMQlUpSG/view?usp=sharing
122,Aloe vera,Exotic,1 to 2 per week,10,29,"Root Rot, Fungal Stem Rot",Sandy soil,dilute (0.5-1-1) fertilizer,4 sq ft,"Aloe is a cactus-like plant that grows in hot, dry climates. It is cultivated in subtropical regions around the world, including the southern border areas of Texas, New Mexico, Arizona, and  California. Historically, aloe has been used for skin conditions and was thought to improve baldness and promote wound healing. Aloe is used topically (applied to the skin) and orally.",https://drive.google.com/file/d/1Tmvet3oSRjn3EvzxyTzmOsl2hZTFVgRt/view?usp=sharing,https://drive.google.com/file/d/13ahdPD3EVHudGQqT8s36GbMkYsQM8VtY/view?usp=sharing
123,Lucky Bamboo Plant,Exotic,2 to 6 per week,18,32,Sooty Mold,"Clay soil, Sandy soil",2:2:2 NPK fertilizer,9 sq ft,The Lucky Bamboo plant is a household plant which is easy to care for and grows well in indirect sunlight. But it is a type of tropical water lily called Dracaena Sanderiana. The lucky bamboo plant is one of the most popular Feng Shui cures said to bring good luck and prosperity to the place where it is grown. It is also known to enhance the flow of positive energy in the home and office when placed in the right direction.,https://drive.google.com/file/d/1jINrlQzSXdy42eu2F_J3MAoyxIOUQJbe/view?usp=sharing,https://drive.google.com/file/d/1jl9lWRyYKYsewRxu0K_kLGb9L3PDkxuR/view?usp=sharing
124,Ferns,Exotic,2.36 per week,10,21,"Leaf Tip Burn, Nematodes","Clay soil, Silty soil","peat, leaf mold or worm castings",16 sq ft,"Ferns are plants that do not have flowers. Similar to flowering plants, ferns have roots, stems and leaves. However, unlike flowering plants, ferns do not have flowers or seeds; instead, they usually reproduce sexually by tiny spores or sometimes can reproduce vegetatively, as exemplified by the walking fern.",https://drive.google.com/file/d/1i1DryVnxGZmiZvFwxOLA9cN81yiObguw/view?usp=sharing,https://drive.google.com/file/d/1J6eeD3U65QFxtJqzEAiRc8HhL3PUs7Cm/view?usp=sharing
125,Chinese Evergreen,Exotic,1 to 1.2 per week,15,27,Root Rot,Loamy soil,Diluted liquid fertilizer,1.5 sq ft,"The Chinese evergreens, of the genus Aglaonema, are fleshy tropical Asian herbs of slow growth, with leathery leaves often bearing silvery or colourful patterns; they are durable and are tolerant of indoor conditions.",https://drive.google.com/file/d/1mbjMcOtvq0ClMAznJ2FHqYtlbHcaC2o1/view?usp=sharing,https://drive.google.com/file/d/1DtSypJEGTVHmY9GYP8r1quDJ7HM75EBi/view?usp=sharing
126,Grape Ivy,Exotic,3.5 to 5 per week,10,28,Leaf Spot,"Sandy soil, Clay soil",Water-soluble fertilizer,4 sq ft,"Grape ivy plants are lovely hanging plants with rhombus shaped leaves with long stems that are of a reddish hue on the underside. The blooms of this plant tend to be an innocuous green similar to the leaf color, blending into the foliage and rarely found on cultivated plants.",https://drive.google.com/file/d/1_lJXQ45PxiRmg0_LuPc1UCYDmZDz4xH3/view?usp=sharing,https://drive.google.com/file/d/1PEMnf0vgUugwhIdgrDWpbs94n3hi2Ez0/view?usp=sharing
127,Flamingo Flower,Exotic,5 to 7 per week,18,29,Bacterial Blight,Sandy soil,Phosphorus,15 sq ft,"This spectacular tropical is native to the South American regions and produces shiny, dark green, heart-shaped leaves. Flamingo Flowers are complemented with a continuous display of bright waxy, red heart-shaped spathes with yellow spadices. On average, the flower lasts for a full two to three months.",https://drive.google.com/file/d/1jFKZ4KtzgJE0rUbosQ9XEjI9nTx5SNOL/view?usp=sharing,https://drive.google.com/file/d/18DFWCk2JaVwtc5FKCI33XnxzTKP81DAC/view?usp=sharing
128,Areca Palm,Exotic,1 to 2 per week,16,24,"Root Rot, Brown Tips",Clay soil,"Nitrogen, Phosphate, Potash",3 sq ft,"It is hard to believe that the areca palm was once an endangered species. Drive down almost any street in a warm climate, and you are likely to see dozens of these tall, attractive, clumping palms that look a lot like bamboo. Their fronds are narrow and full, almost like bamboo leaves. When grown outdoors, they are often used as a privacy screen. These palms also are grown indoors as houseplants. They are best planted in the spring, and they have a slow to moderate growth rate.",https://drive.google.com/file/d/11gVR0fuLPWtRgody2p7Q2xa4xMZMkMbf/view?usp=sharing,https://drive.google.com/file/d/1RlzkynDwVt9QHOp68f7FKNvCp7_puNSO/view?usp=sharing
129,Money Plant,Exotic,1 to 1.2 per week,15,30,Powdery Mildew,Loamy soil,Liquid nitrate based fertilizer,2 sq ft,"Money plant is one of the most popular indoor plants in India. The heart-shaped leaves of money plant add lushness to the décor without any mess and dirt. It has ornamental appeal as well as a number of health benefits as it is also known as natural air purifier. Money plant attracts positive energy along with luck, wealth and prosperity which makes it more auspicious as an indoor plant.",https://drive.google.com/file/d/1eD4KG60KInB-S9Yo_zcCZKIOM_GuZS1k/view?usp=sharing,https://drive.google.com/file/d/1xduuxgRWuJ7ErQK1iUspYAFHXBAJTwnv/view?usp=sharing
130,Warneck Dracaena,Exotic,2 to 5 per week,13,26,Fluoride Toxicity,Loamy soil,nitrogen-phosphorous-potassium (3:1:2),5 sq ft,Dracaena warneckii is a species is known for its sword-like green leaves that are rigid and sharply pointed. Each gray-green leaf is striped with white or green thereby creating a dazzling effect. The plant can be toxic to dogs and cats if the leaves are ingested in large amounts.,https://drive.google.com/file/d/1dA34VgQftrjPXkrLayvcbhzVWCAuyNS3/view?usp=sharing,https://drive.google.com/file/d/1Qcw9VEmC6JjHSfrWkL1qZnbq8GdEBUyt/view?usp=sharing
131,Heart Leaf Philodendron,Exotic,4 to 5 per week,16,24,"Root Rot, Pests","Sandy soil, Loamy soil",20-20-20 water soluble fertilizer,3 sq ft,"The heartleaf philodendron is native to South and Central America and the West Indies. It's also known as the ""sweetheart plant"" for its heart-shaped green leaves. The leaves are dark green but when they first emerge they're often bronze-colored, giving this plant plenty of visual interest. On rare occasions, a mature plant might produce small greenish white flowers.",https://drive.google.com/file/d/1WmKsQ_S3ofs7xT7wrxzf595rTrWl8VDQ/view?usp=sharing,https://drive.google.com/file/d/1aJqnnezffi83AmRhwGWJqnf6uyS-6bHV/view?usp=sharing
132,Azalea,Exotic,1 to 2 per week,-6,29,Petal Blight,Loamy soil,10:10:10 NPK fertilizer,2.5 sq ft,"Azaleas are beautiful plants known as the “Royalty of the Garden” because of their notoriously vibrant and colorful blossoms. The various shades of azaleas include pinks, purples, reds, oranges, whites and more. The number of unique blossoms for each type of azalea varies, as well as the shape of the petals. With proper azalea care, the plant makes for a wonderful addition to your garden.",https://drive.google.com/file/d/12miE69nXpbmu3PvFI0yaxg6ffcTl1TFV/view?usp=sharing,https://drive.google.com/file/d/1l9Vxju3NeKjBlS7I0gLY0xIGwTmbFNsQ/view?usp=sharing
133,Green Spider Plant,Exotic,2 to 4 per week,13,18,Root Rot,Loamy soil,12-5-7 fertilizer,4.5 sq ft,"Spider plant, African plant commonly grown as an ornamental houseplant. The most popular varieties feature long grassy green-and-white-striped leaves. Periodically a flower stem emerges, and tiny white flowers—not always produced—are replaced by young plantlets, which can then be detached and rooted. Spider plants are easy to grow and thrive under a variety of conditions.",https://drive.google.com/file/d/1I5ex6Qn-e-D8jI5i1db3WLgaVIrK0dKL/view?usp=sharing,https://drive.google.com/file/d/1zykMQHHle_Tdwo4QKtbeMYeSGjsA-Zgy/view?usp=sharing
134,Gerbera Daisy,Exotic,1 to 2 per week,7,10,Crown Rot,Sandy soil,"Seaweed, Fish emulsion",2 sq ft,"Gerbera is the name for a breed of colorful daisies, which also are known as gerber or transvaal daisies. They have satin-looking petals that surround a distinct center. A gerbera daisy bloom can measure as wide as four or five inches across, and the plant naturally grows low to the ground in a pile of lush green leaves.",https://drive.google.com/file/d/1bT0FVeWGcuTDMLs-wnRlCxwf3DCHXjup/view?usp=sharing,https://drive.google.com/file/d/1UAw-TuMcx6IUOJXadPpHxKjx4CFerP6v/view?usp=sharing
135,Weeping Fig,Exotic,5 to 7 per week,21,29,"Phomopsis Canker, Dieback",Sandy soil,"Pellet fuel, magnesium, manganese",5 sq ft,"Weeping fig (also known as the ficus tree) grows as a large broadleaf evergreen tree in tropical and subtropical climates, but it is more often grown as a houseplant in homes, offices, and featured in interior commercial landscaping. This elegant plant has slender branches that arch gracefully from a light gray trunk, with dense, glossy dark leaves.",https://drive.google.com/file/d/1p19O3NVR_vE9ehxtXHV3M_QvB-ekzgZv/view?usp=sharing,https://drive.google.com/file/d/1PzErmpNPTTPYHHYxaqnVn3gvHQzCTO-T/view?usp=sharing
136,Croton,Exotic,2 to 4 per week,13,27,Crown Gall,Clay soil,"Ammonium nitrate, Ammonium sulphate",2.5 sq ft,"Croton, also called variegated laurel, colourful-leaved plant native to Malaysia and the Pacific and extensively cultivated. Croton trees can reach a height of about 6 metres (20 feet), though varieties kept as houseplants can be significantly smaller.",https://drive.google.com/file/d/1-XHghjZgik6obn45SurvU7IQQAdu3pTH/view?usp=sharing,https://drive.google.com/file/d/1donyO8MOGE32cW8UX_T4dFQ7t1gqrNNk/view?usp=sharing
137,Indian Basil,Exotic,1 to 2 per week,20,32,Fusarium Wilt,"Sandy soil, Loamy soil",Compost,7 sq ft,"Holy basil is a plant that is native to India. It is commonly used in the traditional Indian medicine system, Ayurveda. Holy basil is sometimes called ""hot basil"" because of its peppery taste. Chemicals in holy basil are thought to decrease pain and swelling.",https://drive.google.com/file/d/1o7xOImyb_Zf6lHe2gispQBs04OamohCv/view?usp=sharing,https://drive.google.com/file/d/1oG_y-HgmjHCYw0w5dJUtlSZSfnzDedD-/view?usp=sharing
138,Lady's Slipper Orchid,Exotic,1 to 5 per week,13,21,Gray Mold,"Sandy soil, Loamy soil",Fish emulsion,1 sq ft,"Lady's Slipper or Slipper Orchids are an extremely well known group of orchids. They are popularly called Lady's slippers because of the presence of a highly modified pouch-like lip or labellum, which looks similar to a lady's slipper. They are highly priced and much sought after in the floriculture industry as potted plants as well as cut flowers due to their enchantingly attractive, colourful blooms and ability to remain fresh for several weeks.",https://drive.google.com/file/d/1ZR0eXmlh1dBKugdB62GDk3L8iruBZcq7/view?usp=sharing,https://drive.google.com/file/d/14Wh5gCjtOGLP6U7zyR_QyZ7a5HHxd8OS/view?usp=sharing
139,Jade Plant,Exotic,1 to 2 per week,10,24,Bacterial Soft Rot,Silty soil,Balanced water soluble fertilizer,6.5 sq ft,"Jade plants are tough, easy-to-grow succulents. They grow well in containers and like the warm, dry conditions found in most homes.Jade plants can live for a very long time and grow into small trees or shrubs up to 5 feet tall indoors.Succulent, fleshy leaves are round or oval, dark green, blue-gray or edged in red depending on species.",https://drive.google.com/file/d/12VUG0W2ATD4wvE1xU44eC_9FDI-k5o84/view?usp=sharing,https://drive.google.com/file/d/120XXH-vNVk88HTwEb70pldYXmy0xPxVp/view?usp=sharing
140,Zamioculcas Zamiifolia,Exotic,2 to 5 per week,15,32,Tuber Rot,Loamy soil,Balanced liquid houseplant fertilizer,10 sq ft,"It is a tropical perennial plant native to eastern Africa, from southern Kenya to northeastern South Africa. Common names include Zanzibar gem, ZZ plant, Zuzu plant, aroid palm, eternity plant and emerald palm. It is grown as an ornamental plant, mainly for its attractive glossy foliage and easy care. It grows well in low or bright lighting conditions and with frequent or much less frequent amounts of water.",https://drive.google.com/file/d/1tC_hz-XSH6vwt6bx-UBWGHq0iVt8AxIg/view?usp=sharing,https://drive.google.com/file/d/1HvlR8I47GHkPQlw2B4y6WVsIdI4ttaDC/view?usp=sharing
141,Sedum Morganianum,Exotic,1 to 5 per week,18,26,Leaf Withering,Sandy soil,Balanced diluted fertilizer,3.5 sq ft,"Sedum morganianum ‘Burrito’ is a beautiful trailing succulent that is perfect in hanging baskets. It has grey-green leaves, and is very easily propagated. Keep away from drafts, although cooler winter temperatures may encourage flowers to bloom in the spring.",https://drive.google.com/file/d/1uRremp6CyxKG7I_qO-pnQOMGzy8UXWrV/view?usp=sharing,https://drive.google.com/file/d/13WdGjXSqTpK0vm4fhv2YfU9GrWWKixXZ/view?usp=sharing
142,Fiddle Leaf-Fig Plant,Exotic,6 to 7 per week,16,29,Fungal Infections,Loamy soil,10-10-10 fertilizer,2 sq ft,"The fiddle-leaf fig is a popular indoor tree featuring very large, heavily veined, and glossy violin-shaped leaves that grow upright on a sleek trunk. It's a fairly fast grower and can be potted at any point in the year if you're like most gardeners acquiring a nursery plant to keep indoors. Keep in mind this gorgeous plant is toxic to cats and dogs.",https://drive.google.com/file/d/1ktjIJePm48F73bblTO5243HTrN2HsSWL/view?usp=sharing,https://drive.google.com/file/d/1g8OaUqHBOWVN7afVCS2AgXgxDUI2IXcJ/view?usp=sharing
143,String of Pearl Plant,Exotic,1 to 1.2 per week,16,27,Root Rot,Sandy soil,Diluted ¼-strength complete liquid fertilizer,4 sq ft,"String of pearls plants are unique vining succulents that are easily recognizable by their tiny pea-shaped leaves. The leaves grow on trailing stems that gracefully spill over the sides of planters and hanging baskets. You can use these stems to propagate the plant, which is a robust and quick grower—gaining about 5 to 15 inches per year—but does not live long without propagation.",https://drive.google.com/file/d/1ma2IBcot_oob5NYou9ifhpZh-Kn_ujJL/view?usp=sharing,https://drive.google.com/file/d/1Vqcw6CVFdl797uzgTSfgZnYhMWNuLPGl/view?usp=sharing
144,Bunny Ear Cactus,Exotic,5 to 7 per week,21,37,Steam Base Rot,Sandy loam,Low nitrogen fertilizer,1 sq ft,"Bunny ears cactus originated in Mexico and is a denizen of arid, desert-like areas. Growing bunny ears cactus is as simple as mimicking its native regional conditions. So if you have a dry, low humidity home and plenty of sunny exposure, bunny ears cactus plant might be the perfect plant for you.",https://drive.google.com/file/d/1mfDMR4FCoYNuuQaIIcdmg2HNuBdRIYkq/view?usp=sharing,https://drive.google.com/file/d/1yqCln6gygBxTsF-YknNYD6LkAOzTUVs8/view?usp=sharing
145,Pothos,Exotic,1 to 2 per week,10,24,Pythium Root Rot,Silty soil,Balanced houseplant fertilizer,2.5 sq ft,"Pothos is an evergreen plant with thick, waxy, green, heart-shaped leaves with splashes of yellow. As a houseplant, it is commonly grown as a hanging plant. Pothos can climb by means of aerial roots, and wild or cultivated plants grown outdoors can reach enormous heights using tall trees as support.",https://drive.google.com/file/d/1DAdBRq2m943ChMaVp_5BRcx3GilO5Hi8/view?usp=sharing,https://drive.google.com/file/d/1IQufCcKld5rEvJHEcqS3ps81z9guU9aU/view?usp=sharing
146,Dragon Tree,Exotic,3 to 5 per week,18,27,Soft Rot,Loamy soil,water-soluble fertilizer,2 sq ft,"Dracaena cinnabari, or dragon blood tree, is a unique tree that is one of the most peculiar trees in the world. The tree has a distinctive external shape that makes it look like a huge umbrella, as the leaves grow only at the end of branches and point upwards. It produces a lot of green leaves that are renewed every three or four years; they fall and other leaves grow in their place.",https://drive.google.com/file/d/1oRwrG6_u2rMM6llR4A55GbdJofBhVprE/view?usp=sharing,https://drive.google.com/file/d/1IhfKJjOshves3Ed6EsCwCUXUWdC4MTYX/view?usp=sharing
147,Prayer Plant,Exotic,1 to 3 per week,18,30,Cucumber Mosaic Virus,Loamy soil,Diluted houseplant fertilizer,1 sq ft,"Prayer plant gets its common name from the fact that its leaves stay flat during the day and then fold up like praying hands at night. The prayer plant is one of the most distinguishable tropicals, thanks to its beautiful decorative leaves. The popular tricolor variety has deep green, velvety leaves with yellow splotches down the midrib and arching red veins traveling to the leaf margins.",https://drive.google.com/file/d/1wKfdAKzRkEenBB3J0qpQsx6jxjgF427I/view?usp=sharing,https://drive.google.com/file/d/1e3CwplXMMAcoheqVN4tljdjIOD5MUtSR/view?usp=sharing
